,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
30,214566_at,6.26e-05,3.56e-08,-17.214395,8.718635,-4.8107664,SMR3A,submaxillary gland androgen regulated protein 3A
31,213201_s_at,6.41e-05,3.76e-08,-17.105689,8.680051,-3.0644465,TNNT1,"troponin T1, slow skeletal type"
32,211429_s_at,7.07e-05,4.31e-08,16.839516,8.58384,3.8359709,SERPINA1,serpin family A member 1
33,238383_at,7.07e-05,4.4e-08,-16.797873,8.568562,-3.3312678,C6orf58,chromosome 6 open reading frame 58
34,209309_at,0.000103,6.63e-08,-16.026922,8.27414,-5.2727483,AZGP1,"alpha-2-glycoprotein 1, zinc-binding"
35,207925_at,0.000132,8.68e-08,-15.535859,8.07455,-3.24745,CST5,cystatin D
36,202833_s_at,0.000137,9.26e-08,15.420358,8.026164,4.5042078,SERPINA1,serpin family A member 1
37,206994_at,0.000145,1.01e-07,-15.273471,7.963812,-4.8731007,CST4,cystatin S
38,207789_s_at,0.000147,1.05e-07,-15.195448,7.930315,-3.4575083,DPP6,dipeptidyl peptidase like 6
39,203510_at,0.000162,1.2e-07,14.969059,7.831609,3.0602633,MET,"MET proto-oncogene, receptor tyrosine kinase"
40,217561_at,0.000162,1.22e-07,-14.941297,7.819348,-4.210201,CALCA,calcitonin related polypeptide alpha
41,207752_x_at,0.000166,1.28e-07,-14.854609,7.780839,-2.9734234,PRB1,proline rich protein BstNI subfamily 1
42,202018_s_at,0.000233,1.84e-07,-14.246919,7.50108,-5.0137169,LTF,lactotransferrin
43,229052_at,0.000244,1.97e-07,-14.133979,7.44713,-2.6210775,ANKRD23///ANKRD39,ankyrin repeat domain 23///ankyrin repeat domain 39
44,205388_at,0.000244,2.01e-07,-14.099362,7.430467,-4.1221079,TNNC2,"troponin C2, fast skeletal type"
45,217014_s_at,0.000266,2.26e-07,-13.907197,7.33687,-4.0361243,AZGP1P1///AZGP1,"alpha-2-glycoprotein 1, zinc-binding pseudogene 1///alpha-2-glycoprotein 1, zinc-binding"
46,227760_at,0.000266,2.29e-07,-13.883946,7.325418,-3.420593,IGFBPL1,insulin like growth factor binding protein like 1
47,205374_at,0.000276,2.43e-07,-13.790328,7.279024,-3.9278007,SLN,sarcolipin
48,219772_s_at,0.000277,2.49e-07,-13.75293,7.260364,-3.5408886,SMPX,"small muscle protein, X-linked"
49,1553602_at,0.000333,3.05e-07,-13.432675,7.097535,-3.0932146,MUCL1,mucin like 1
50,219728_at,0.00042,3.92e-07,-13.043251,6.891979,-4.171786,MYOT,myotilin
51,227088_at,0.00047,4.48e-07,12.841709,6.782205,2.7817197,PDE5A,phosphodiesterase 5A
52,205444_at,0.000584,5.67e-07,-12.490262,6.585017,-3.1419801,ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1
53,212654_at,0.000584,5.81e-07,-12.455431,6.565064,-2.7080978,TPM2,tropomyosin 2 (beta)
54,244384_at,0.000584,5.88e-07,-12.436931,6.554436,-2.2830127,,
55,1563034_at,0.000592,6.07e-07,-12.392169,6.528633,-3.0085764,GPD1,glycerol-3-phosphate dehydrogenase 1
56,206117_at,0.000737,7.76e-07,-12.038031,6.320003,-2.5524976,TPM1,tropomyosin 1 (alpha)
57,215692_s_at,0.000737,7.83e-07,-12.026107,6.312837,-4.7367052,MPPED2,metallophosphoesterase domain containing 2
58,206393_at,0.00077,8.31e-07,-11.9412,6.261541,-2.5919442,TNNI2,"troponin I2, fast skeletal type"
59,225173_at,0.000804,8.95e-07,11.837298,6.198115,2.281658,ARHGAP18,Rho GTPase activating protein 18
60,207935_s_at,0.000804,8.98e-07,-11.833662,6.195883,-3.6134118,KRT13,keratin 13
61,217495_x_at,0.000805,9.14e-07,-11.808396,6.180343,-2.3291224,CALCA,calcitonin related polypeptide alpha
62,202528_at,0.000835,9.63e-07,11.735624,6.135345,2.9722173,GALE,UDP-galactose-4-epimerase
63,205054_at,0.000851,9.98e-07,-11.686988,6.105069,-4.040255,NEB,nebulin
64,236360_at,0.000932,1.11e-06,-11.540884,6.013135,-2.4584333,LINC00982,long intergenic non-protein coding RNA 982
65,204483_at,0.000949,1.15e-06,-11.495323,5.984162,-3.5455467,ENO3,enolase 3
66,208195_at,0.000949,1.16e-06,-11.47509,5.971248,-4.1536789,TTN,titin
67,222549_at,0.000954,1.19e-06,11.447513,5.9536,5.2666712,CLDN1,claudin 1
68,1561658_at,0.00103,1.3e-06,-11.321939,5.87255,-2.1471999,,
69,1558412_at,0.00103,1.33e-06,11.293879,5.854284,2.3877769,MIR1199///MISP3,microRNA 1199///MISP family member 3
70,242344_at,0.00103,1.33e-06,11.291142,5.8525,7.7544105,GABRB2,gamma-aminobutyric acid type A receptor beta2 subunit
71,202609_at,0.00108,1.43e-06,11.199089,5.792154,1.944356,EPS8,epidermal growth factor receptor pathway substrate 8
72,201012_at,0.00108,1.45e-06,11.176203,5.777055,2.4993417,ANXA1,annexin A1
73,205728_at,0.00108,1.46e-06,11.167883,5.771556,5.4156577,TENM1,teneurin transmembrane protein 1
74,210397_at,0.00118,1.61e-06,-11.038748,5.685547,-2.2657291,DEFB1,defensin beta 1
75,229152_at,0.0012,1.67e-06,-10.993226,5.65493,-4.7147435,FDCSP,follicular dendritic cell secreted protein
76,232056_at,0.0012,1.69e-06,10.981646,5.647116,5.452301,SCEL,sciellin
77,1553429_at,0.00122,1.74e-06,-10.940287,5.619126,-2.5426566,FLJ31713,uncharacterized protein FLJ31713
78,220203_at,0.00125,1.81e-06,-10.890234,5.585077,-3.1682566,BMP8A,bone morphogenetic protein 8a
79,229659_s_at,0.00139,2.04e-06,-10.733532,5.477228,-4.2184171,,
80,229147_at,0.0016,2.37e-06,-10.546256,5.3458,-3.1780764,RASSF6,Ras association domain family member 6
81,205766_at,0.00176,2.64e-06,-10.408201,5.247106,-2.4498041,TCAP,titin-cap
82,222720_x_at,0.00177,2.69e-06,10.387509,5.232179,2.2498281,C1orf27,chromosome 1 open reading frame 27
83,208555_x_at,0.00177,2.73e-06,-10.36877,5.21863,-4.4645685,CST2,cystatin SA
84,203717_at,0.0019,2.96e-06,10.267733,5.145076,3.6689286,DPP4,dipeptidyl peptidase 4
85,1558423_at,0.00193,3.04e-06,-10.232303,5.11908,-1.8688159,LINC00265,long intergenic non-protein coding RNA 265
86,204105_s_at,0.00194,3.09e-06,10.214261,5.105802,3.1001791,NRCAM,neuronal cell adhesion molecule
87,243032_at,0.00217,3.49e-06,-10.065072,4.994943,-2.6412858,,
88,215643_at,0.00229,3.76e-06,-9.976663,4.928343,-2.9632198,SEMA3D,semaphorin 3D
89,233720_at,0.00229,3.78e-06,-9.970761,4.923873,-3.5055598,SORBS2,sorbin and SH3 domain containing 2
90,214565_s_at,0.00245,4.08e-06,-9.877343,4.852707,-7.1762875,SMR3A///SMR3B,submaxillary gland androgen regulated protein 3A///submaxillary gland androgen regulated protein 3B
91,218313_s_at,0.00256,4.32e-06,9.809656,4.80066,2.4522257,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7
92,206834_at,0.00275,4.7e-06,-9.709791,4.723118,-3.4348697,HBD,hemoglobin subunit delta
93,209803_s_at,0.00275,4.73e-06,9.701866,4.716926,1.8266778,PHLDA2,pleckstrin homology like domain family A member 2
94,1558048_x_at,0.00275,4.78e-06,9.68956,4.7073,6.4367843,,
95,205236_x_at,0.00277,4.9e-06,-9.661761,4.685503,-2.6824911,SOD3,"superoxide dismutase 3, extracellular"
96,218332_at,0.00277,4.92e-06,-9.655588,4.680653,-4.0501492,BEX1,brain expressed X-linked 1
97,218653_at,0.00284,5.1e-06,-9.613982,4.647874,-3.2686699,SLC25A15,solute carrier family 25 member 15
98,206884_s_at,0.00284,5.28e-06,9.574168,4.616357,5.1982416,SCEL,sciellin
99,1554195_a_at,0.00284,5.28e-06,-9.574163,4.616353,-1.7208001,C5orf46,chromosome 5 open reading frame 46
100,204737_s_at,0.00284,5.29e-06,-9.572899,4.61535,-2.9510115,MYH7///MYH6,"myosin, heavy chain 7, cardiac muscle, beta///myosin heavy chain 6"
101,214930_at,0.00284,5.3e-06,-9.569519,4.612667,-3.9996435,SLITRK5,SLIT and NTRK like family member 5
102,219106_s_at,0.003,5.65e-06,-9.49564,4.553763,-4.4628304,KLHL41,kelch like family member 41
103,218613_at,0.00315,6e-06,9.426729,4.498358,2.4309112,PSD3,pleckstrin and Sec7 domain containing 3
104,208799_at,0.00316,6.07e-06,-9.412785,4.487092,-1.7628154,PSMB5,proteasome subunit beta 5
105,205577_at,0.00318,6.18e-06,-9.392683,4.470819,-3.0789981,PYGM,"phosphorylase, glycogen, muscle"
106,209888_s_at,0.00319,6.26e-06,-9.378768,4.459532,-3.3557954,MYL1,myosin light chain 1
107,238727_at,0.00325,6.43e-06,-9.346855,4.433576,-3.1805281,LOC440934,uncharacterized LOC440934
108,227055_at,0.00333,6.64e-06,9.310163,4.403613,4.0820607,METTL7B,methyltransferase like 7B
109,214447_at,0.00338,6.81e-06,-9.282286,4.380761,-2.4270934,ETS1,"ETS proto-oncogene 1, transcription factor"
110,210155_at,0.00338,6.88e-06,-9.270779,4.371306,-3.3135853,MYOC,myocilin
111,232720_at,0.00361,7.4e-06,-9.188098,4.302993,-1.910773,LINGO2,leucine rich repeat and Ig domain containing 2
112,205174_s_at,0.0037,7.66e-06,9.150185,4.271446,3.7813642,QPCT,glutaminyl-peptide cyclotransferase
113,238385_at,0.00383,8e-06,-9.101161,4.230441,-1.8677804,C6orf58,chromosome 6 open reading frame 58
114,1560652_at,0.00397,8.36e-06,-9.05277,4.189734,-2.1450251,IRS4,insulin receptor substrate 4
115,239752_at,0.00397,8.43e-06,-9.042636,4.181178,-2.2026755,CECR2,"CECR2, histone acetyl-lysine reader"
116,228546_at,0.00417,8.94e-06,-8.978019,4.126389,-5.3291021,DPP6,dipeptidyl peptidase like 6
117,244297_at,0.00417,9.01e-06,-8.970163,4.119699,-2.1520878,ANKRD18A,ankyrin repeat domain 18A
118,242093_at,0.00417,9.11e-06,8.957701,4.109074,5.4319171,SYTL5,synaptotagmin like 5
119,236610_at,0.00417,9.16e-06,-8.951041,4.10339,-2.3994606,,
120,228058_at,0.00417,9.23e-06,-8.943096,4.096602,-6.1279577,ZG16B,zymogen granule protein 16B
121,242910_x_at,0.00421,9.41e-06,8.922445,4.07893,2.5303736,,
122,207808_s_at,0.00428,9.63e-06,8.896613,4.056763,3.2644355,PROS1,protein S (alpha)
123,213796_at,0.00444,1.01e-05,-8.845561,4.012754,-2.2922426,SPRR1A,small proline rich protein 1A
124,210414_at,0.00444,1.02e-05,-8.838397,4.006556,-2.0467685,FLRT1,fibronectin leucine rich transmembrane protein 1
125,218368_s_at,0.00449,1.06e-05,8.795692,3.969505,3.3782488,TNFRSF12A,TNF receptor superfamily member 12A
126,1560523_at,0.00449,1.06e-05,8.792146,3.966419,1.4887587,,
127,215117_at,0.00449,1.06e-05,-8.789467,3.964087,-2.5586801,RAG2,recombination activating gene 2
128,208949_s_at,0.00449,1.07e-05,8.778607,3.954628,1.7125571,LGALS3,"lectin, galactoside binding soluble 3"
129,220625_s_at,0.00449,1.08e-05,-8.775415,3.951845,-1.8773198,ELF5,E74 like ETS transcription factor 5
130,227618_at,0.00449,1.08e-05,8.774845,3.951348,1.9630839,NHSL2,NHS like 2
131,205163_at,0.00472,1.14e-05,-8.710081,3.894656,-1.8201068,MYLPF,"myosin light chain, phosphorylatable, fast skeletal muscle"
132,205336_at,0.00472,1.15e-05,-8.704544,3.889788,-2.0225336,PVALB,parvalbumin
133,1563035_x_at,0.00477,1.17e-05,-8.685388,3.872923,-3.5039837,GPD1,glycerol-3-phosphate dehydrogenase 1
134,228585_at,0.00485,1.21e-05,8.65226,3.843667,4.0404314,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1
135,205033_s_at,0.00485,1.21e-05,-8.647121,3.839119,-1.9152655,DEFA1B///DEFA3///DEFA1,defensin alpha 1B///defensin alpha 3///defensin alpha 1
136,230536_at,0.00485,1.22e-05,-8.643811,3.836188,-2.107246,PBX4,PBX homeobox 4
137,205382_s_at,0.00502,1.27e-05,-8.599965,3.797248,-3.4056579,CFD,complement factor D
138,221994_at,0.00505,1.29e-05,-8.585497,3.784354,-1.495371,PDLIM5,PDZ and LIM domain 5
139,222705_s_at,0.00516,1.32e-05,-8.555298,3.757369,-2.4751,SLC25A15,solute carrier family 25 member 15
140,1557122_s_at,0.00517,1.34e-05,8.544752,3.747922,5.2042364,GABRB2,gamma-aminobutyric acid type A receptor beta2 subunit
141,216544_at,0.00538,1.41e-05,-8.489063,3.697838,-1.467015,LOC100652931///RBMY2FP,"RNA binding motif protein, Y-linked, family 1, member A1 pseudogene///RNA binding motif protein, Y-linked, family 2, member F pseudogene"
142,209515_s_at,0.00538,1.41e-05,8.487228,3.696182,2.8684273,RAB27A,"RAB27A, member RAS oncogene family"
143,208891_at,0.00538,1.42e-05,8.480283,3.689911,2.8601084,DUSP6,dual specificity phosphatase 6
144,1569041_at,0.00559,1.49e-05,-8.428844,3.643302,-2.0765851,,
145,226237_at,0.00559,1.49e-05,8.426051,3.640763,2.2762749,COL8A1,collagen type VIII alpha 1 chain
146,232744_x_at,0.0056,1.51e-05,-8.416539,3.632109,-1.743099,,
147,214735_at,0.0057,1.54e-05,-8.392354,3.610063,-3.8392281,IPCEF1,interaction protein for cytohesin exchange factors 1
148,229341_at,0.0058,1.58e-05,-8.366314,3.586253,-2.6872531,TFCP2L1,transcription factor CP2-like 1
149,214456_x_at,0.00592,1.63e-05,-8.338832,3.561044,-2.4403498,SAA2///SAA1,serum amyloid A2///serum amyloid A1
150,219277_s_at,0.00601,1.66e-05,-8.315515,3.539589,-4.1898566,OGDHL,oxoglutarate dehydrogenase-like
151,222056_s_at,0.00603,1.68e-05,-8.305029,3.529921,-1.8158638,FAHD2A,fumarylacetoacetate hydrolase domain containing 2A
152,242801_at,0.00611,1.71e-05,-8.286113,3.51245,-2.1468234,,
153,222919_at,0.00615,1.73e-05,-8.272423,3.499781,-1.9275443,TRDN,triadin
154,213684_s_at,0.00652,1.86e-05,-8.197583,3.430148,-2.6341104,PDLIM5,PDZ and LIM domain 5
155,229094_at,0.00652,1.87e-05,-8.192686,3.42557,-1.7777098,ATP6V0E2-AS1,ATP6V0E2 antisense RNA 1
156,208995_s_at,0.00652,1.87e-05,8.192309,3.425218,1.9544297,PPIG,peptidylprolyl isomerase G
157,208393_s_at,0.00652,1.89e-05,8.185944,3.419263,1.9015423,RAD50,RAD50 double strand break repair protein
158,1554748_at,0.00687,2e-05,-8.125554,3.362533,-2.6461117,CLCNKB,chloride voltage-gated channel Kb
159,237035_at,0.0069,2.02e-05,-8.114754,3.352345,-2.4972009,,
160,234071_at,0.0069,2.03e-05,-8.10832,3.346268,-1.7370596,DEPTOR,DEP domain containing MTOR-interacting protein
161,213423_x_at,0.00703,2.09e-05,8.082946,3.322258,3.4927783,TUSC3,tumor suppressor candidate 3
162,226281_at,0.00706,2.11e-05,-8.07231,3.312172,-2.5779966,DNER,delta/notch like EGF repeat containing
163,213782_s_at,0.00758,2.28e-05,-7.995068,3.238531,-1.8911114,MYOZ2,myozenin 2
164,235942_at,0.0078,2.36e-05,-7.960782,3.205622,-1.664959,FAM224A///FAM224B,family with sequence similarity 224 member A (non-protein coding)///family with sequence similarity 224 member B (non-protein coding)
165,235503_at,0.0078,2.38e-05,-7.951863,3.197038,-3.6675349,ASB5,ankyrin repeat and SOCS box containing 5
166,1556595_at,0.0078,2.38e-05,-7.94855,3.193847,-2.7916055,,
167,234193_at,0.0079,2.43e-05,-7.929231,3.175216,-2.4043521,,
168,223582_at,0.00798,2.47e-05,-7.913607,3.160116,-1.7400069,ADGRV1,adhesion G protein-coupled receptor V1
169,231437_at,0.00811,2.52e-05,-7.891475,3.138676,-2.2335066,SLC35D2,solute carrier family 35 member D2
170,205372_at,0.00813,2.55e-05,7.882955,3.130408,2.717455,PLAG1,PLAG1 zinc finger
171,209842_at,0.00821,2.59e-05,-7.867652,3.115535,-1.6602313,SOX10,SRY-box 10
172,235004_at,0.00837,2.65e-05,-7.843184,3.091697,-2.5151034,RBM24,RNA binding motif protein 24
173,219945_at,0.00843,2.69e-05,-7.829662,3.078492,-1.9808832,DDX25,DEAD-box helicase 25
174,202222_s_at,0.00851,2.73e-05,-7.81575,3.064884,-1.5146872,DES,desmin
175,233239_at,0.00859,2.77e-05,-7.800634,3.050072,-2.1160651,,
176,227642_at,0.00861,2.79e-05,-7.792462,3.042054,-4.4950006,TFCP2L1,transcription factor CP2-like 1
177,220620_at,0.00876,2.86e-05,-7.766653,3.016675,-1.5232261,CRCT1,cysteine rich C-terminal 1
178,1555516_at,0.00876,2.87e-05,-7.764176,3.014236,-1.859518,FOXP2,forkhead box P2
179,240236_at,0.0089,2.93e-05,-7.743016,2.993363,-3.5175431,STXBP5L,syntaxin binding protein 5 like
180,222054_at,0.0089,2.95e-05,-7.737911,2.988319,-2.0897384,PPIEL,peptidylprolyl isomerase E like pseudogene
181,207441_at,0.00895,3e-05,-7.721056,2.971643,-7.4574599,SMR3B,submaxillary gland androgen regulated protein 3B
182,232883_at,0.00895,3.01e-05,-7.718961,2.969569,-1.4929575,,
183,228715_at,0.00895,3.01e-05,7.716594,2.967224,4.9733613,ZCCHC12,zinc finger CCHC-type containing 12
184,202776_at,0.00903,3.06e-05,7.702846,2.953589,1.5559177,DNTTIP2,deoxynucleotidyltransferase terminal interacting protein 2
185,220858_at,0.00912,3.11e-05,-7.687168,2.938013,-3.1446558,SORBS2,sorbin and SH3 domain containing 2
186,203780_at,0.00916,3.14e-05,7.678446,2.929335,2.1091205,MPZL2,myelin protein zero like 2
187,1567030_at,0.00919,3.18e-05,-7.665541,2.916477,-1.5377132,SH3GL1P2,"SH3 domain containing GRB2 like 1, endophilin A2 pseudogene 2"
188,216850_at,0.00919,3.18e-05,-7.664187,2.915128,-1.9538283,LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNURF///SNRPN///IPW,"uncharacterized LOC101930404///small nucleolar RNA, C/D box 116-28///small nucleolar RNA, C/D box 115-26///small nucleolar RNA, C/D box 115-13///small nucleolar RNA, C/D box 115-7///small nucleolar RNA, C/D box 116-22///small nucleolar RNA, C/D box 116-4///Prader Willi/Angelman region RNA, SNRPN neighbor///small nucleolar RNA, C/D box 107///SNRPN upstream reading frame///small nuclear ribonucleoprotein polypeptide N///imprinted in Prader-Willi syndrome (non-protein coding)"
189,233614_at,0.00922,3.24e-05,-7.647037,2.898006,-2.0013389,,
190,227052_at,0.00922,3.25e-05,7.642794,2.893765,1.3548192,SMIM14,small integral membrane protein 14
191,204419_x_at,0.00922,3.26e-05,-7.641646,2.892617,-3.9827989,HBG2///HBG1,hemoglobin subunit gamma 2///hemoglobin subunit gamma 1
192,205421_at,0.00922,3.26e-05,-7.640491,2.891463,-2.4555533,SLC22A3,solute carrier family 22 member 3
193,219743_at,0.00951,3.41e-05,7.597204,2.848054,2.9166428,HEY2,hes related family bHLH transcription factor with YRPW motif 2
194,222068_s_at,0.00951,3.42e-05,-7.594524,2.84536,-1.3201273,DNAAF1,dynein axonemal assembly factor 1
195,232307_at,0.00951,3.42e-05,-7.594295,2.845129,-1.9787742,,
196,229386_at,0.00951,3.45e-05,-7.586187,2.83697,-1.7177852,ID4,"inhibitor of DNA binding 4, HLH protein"
197,233080_s_at,0.00951,3.45e-05,7.586025,2.836807,1.5473282,PRPF40A,pre-mRNA processing factor 40 homolog A
198,222587_s_at,0.00963,3.51e-05,7.569127,2.819776,2.8907569,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7
199,203862_s_at,0.00987,3.61e-05,-7.540898,2.791246,-5.1251138,ACTN2,actinin alpha 2
200,238712_at,0.01,3.68e-05,-7.522729,2.772831,-2.168325,,
201,235912_at,0.01,3.71e-05,-7.515526,2.76552,-1.5632819,,
202,201666_at,0.01,3.73e-05,7.511442,2.76137,1.9495257,TIMP1,TIMP metallopeptidase inhibitor 1
203,230252_at,0.01,3.75e-05,7.504912,2.754734,3.4614242,LPAR5,lysophosphatidic acid receptor 5
204,202733_at,0.0102,3.82e-05,7.487545,2.737054,1.6303881,LOC101927705///P4HA2,uncharacterized LOC101927705///prolyl 4-hydroxylase subunit alpha 2
205,1558937_s_at,0.0102,3.85e-05,-7.479685,2.729041,-1.5023752,,
206,220145_at,0.0102,3.86e-05,7.47823,2.727556,2.686429,MAP9,microtubule associated protein 9
207,237626_at,0.0102,3.87e-05,-7.474462,2.723712,-2.1274844,,
208,208893_s_at,0.0104,3.99e-05,7.446704,2.695331,3.3231454,DUSP6,dual specificity phosphatase 6
209,207415_at,0.0104,4.02e-05,-7.439905,2.688366,-3.2713837,PLA2R1,phospholipase A2 receptor 1
210,1557675_at,0.0105,4.05e-05,-7.431942,2.6802,-1.2578146,RAF1,"Raf-1 proto-oncogene, serine/threonine kinase"
211,1569652_at,0.0105,4.1e-05,-7.421047,2.669014,-1.8651506,MLLT3,"MLLT3, super elongation complex subunit"
212,206224_at,0.0105,4.1e-05,-7.420656,2.668612,-3.2523577,CST1,cystatin SN
213,227177_at,0.0105,4.14e-05,7.410825,2.658505,2.0004937,CORO2A,coronin 2A
214,235871_at,0.0105,4.14e-05,7.410541,2.658213,3.5245467,LIPH,lipase H
215,208892_s_at,0.0106,4.19e-05,7.399713,2.647067,2.7964164,DUSP6,dual specificity phosphatase 6
216,226588_at,0.0108,4.3e-05,7.374574,2.621132,1.6303806,CWC22,"CWC22 homolog, spliceosome-associated protein"
217,210218_s_at,0.0108,4.31e-05,7.372528,2.619018,1.8476479,SP100,SP100 nuclear antigen
218,216442_x_at,0.0108,4.33e-05,7.368459,2.614811,2.9348201,FN1,fibronectin 1
219,236019_at,0.0109,4.42e-05,-7.349656,2.595346,-1.3761482,RAB12,"RAB12, member RAS oncogene family"
220,204328_at,0.0109,4.42e-05,7.348752,2.594409,2.1411964,TMC6,transmembrane channel like 6
221,1560689_s_at,0.0111,4.52e-05,-7.328833,2.573738,-1.2674197,AKT2,AKT serine/threonine kinase 2
222,238610_s_at,0.0112,4.58e-05,-7.316252,2.560655,-1.5946553,,
223,231181_at,0.0112,4.58e-05,-7.316231,2.560633,-5.1903161,,
224,242763_at,0.0112,4.61e-05,-7.309634,2.553765,-1.7498922,,
225,209613_s_at,0.0112,4.64e-05,-7.304479,2.548395,-4.7041414,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide"
226,239274_at,0.0112,4.67e-05,-7.298721,2.542391,-1.8494607,,
227,230332_at,0.0116,4.85e-05,-7.26315,2.505212,-2.0383023,ZCCHC7,zinc finger CCHC-type containing 7
228,207047_s_at,0.012,5.03e-05,-7.228494,2.468835,-1.6135478,CLCNKB///CLCNKA,chloride voltage-gated channel Kb///chloride voltage-gated channel Ka
229,206572_x_at,0.0121,5.09e-05,7.218331,2.458137,1.362807,ZNF85,zinc finger protein 85
230,204623_at,0.0125,5.29e-05,-7.181428,2.41918,-5.9118627,TFF3,trefoil factor 3
231,209228_x_at,0.0125,5.31e-05,7.178822,2.416422,3.3285973,TUSC3,tumor suppressor candidate 3
232,203355_s_at,0.0125,5.35e-05,7.171134,2.408281,2.7346333,PSD3,pleckstrin and Sec7 domain containing 3
233,227143_s_at,0.0128,5.49e-05,7.148024,2.383764,2.2886983,BID,BH3 interacting domain death agonist
234,203341_at,0.0128,5.49e-05,7.146852,2.382519,1.3450394,CEBPZ,CCAAT/enhancer binding protein zeta
235,212830_at,0.0128,5.53e-05,7.141116,2.376422,1.551969,MEGF9,multiple EGF like domains 9
236,207802_at,0.0129,5.62e-05,-7.126019,2.360355,-4.4616317,CRISP3,cysteine rich secretory protein 3
237,218859_s_at,0.013,5.68e-05,7.115943,2.349614,1.7565821,ESF1,ESF1 nucleolar pre-rRNA processing protein homolog
238,239948_at,0.0131,5.74e-05,-7.107197,2.340281,-1.6993529,NUP153,nucleoporin 153
239,212885_at,0.0132,5.82e-05,7.094209,2.326402,1.327339,MPHOSPH10,M-phase phosphoprotein 10
