#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
COL14A1	FBLN5	9606.ENSP00000297848	9606.ENSP00000345008	0	0	0	0	0.145	0.091	0	0.314	0.420
COL14A1	FBLN2	9606.ENSP00000297848	9606.ENSP00000384169	0	0	0	0	0.146	0.099	0	0.328	0.438
COL14A1	DPT	9606.ENSP00000297848	9606.ENSP00000356791	0	0	0	0	0.232	0	0	0.318	0.454
COL14A1	FBLN1	9606.ENSP00000297848	9606.ENSP00000331544	0	0	0	0	0.318	0.126	0	0.377	0.596
COL14A1	IGF1	9606.ENSP00000297848	9606.ENSP00000376637	0	0	0	0	0.271	0	0	0.516	0.632
COL14A1	MFAP4	9606.ENSP00000297848	9606.ENSP00000378957	0	0	0	0	0.345	0	0	0.576	0.710
CSGALNACT1	DCN	9606.ENSP00000411816	9606.ENSP00000052754	0	0	0	0	0.044	0	0.400	0.218	0.512
DCN	LYVE1	9606.ENSP00000052754	9606.ENSP00000256178	0	0	0	0	0.190	0.091	0	0.270	0.416
DCN	ISLR	9606.ENSP00000052754	9606.ENSP00000249842	0	0	0.122	0.597	0.346	0	0	0.067	0.417
DCN	OMD	9606.ENSP00000052754	9606.ENSP00000364700	0	0	0.199	0.665	0.217	0	0	0.288	0.515
DCN	MFAP4	9606.ENSP00000052754	9606.ENSP00000378957	0	0	0	0	0.439	0	0	0.239	0.555
DCN	FBLN2	9606.ENSP00000052754	9606.ENSP00000384169	0	0	0	0	0.271	0.099	0	0.383	0.559
DCN	SERPINF1	9606.ENSP00000052754	9606.ENSP00000254722	0	0	0	0	0.275	0	0	0.455	0.588
DCN	FBLN5	9606.ENSP00000052754	9606.ENSP00000345008	0	0	0	0	0.305	0.099	0	0.398	0.590
DCN	MGP	9606.ENSP00000052754	9606.ENSP00000228938	0	0	0	0	0.360	0	0	0.396	0.597
DCN	TIMP3	9606.ENSP00000052754	9606.ENSP00000266085	0	0	0	0	0.349	0.045	0	0.482	0.650
DCN	FBLN1	9606.ENSP00000052754	9606.ENSP00000331544	0	0	0	0	0.465	0.099	0	0.631	0.806
DCN	PDGFRA	9606.ENSP00000052754	9606.ENSP00000257290	0	0	0	0	0.733	0.071	0	0.354	0.826
DCN	DPT	9606.ENSP00000052754	9606.ENSP00000356791	0	0	0	0	0.386	0	0	0.766	0.850
DCN	ERBB4	9606.ENSP00000052754	9606.ENSP00000342235	0	0	0	0	0.047	0.094	0.900	0.208	0.922
DCN	IGF1	9606.ENSP00000052754	9606.ENSP00000376637	0	0	0	0	0.255	0.139	0.900	0.849	0.989
DPT	ISLR	9606.ENSP00000356791	9606.ENSP00000249842	0	0	0	0	0.393	0	0	0.108	0.435
DPT	FBLN1	9606.ENSP00000356791	9606.ENSP00000331544	0	0	0	0	0.289	0	0	0.324	0.499
DPT	FBLN5	9606.ENSP00000356791	9606.ENSP00000345008	0	0	0	0	0.240	0	0	0.535	0.631
DPT	OMD	9606.ENSP00000356791	9606.ENSP00000364700	0	0	0	0	0.303	0	0	0.249	0.455
DPT	MFAP4	9606.ENSP00000356791	9606.ENSP00000378957	0	0	0	0	0.451	0	0	0.366	0.637
ERBB4	NTRK2	9606.ENSP00000342235	9606.ENSP00000277120	0	0	0	0.597	0.205	0.357	0	0.526	0.737
ERBB4	MYC	9606.ENSP00000342235	9606.ENSP00000478887	0	0	0	0	0	0	0	0.463	0.463
ERBB4	IGF1	9606.ENSP00000342235	9606.ENSP00000376637	0	0	0	0	0.049	0	0.650	0.419	0.789
FBLN1	ISLR	9606.ENSP00000331544	9606.ENSP00000249842	0	0	0	0	0.289	0.099	0	0.161	0.416
FBLN1	PDGFRA	9606.ENSP00000331544	9606.ENSP00000257290	0	0	0	0	0.234	0	0	0.254	0.404
FBLN1	TIMP3	9606.ENSP00000331544	9606.ENSP00000266085	0	0	0	0	0.176	0	0	0.364	0.453
FBLN1	FBLN5	9606.ENSP00000331544	9606.ENSP00000345008	0	0	0.112	0.792	0.172	0.082	0.500	0.184	0.675
FBLN1	MFAP4	9606.ENSP00000331544	9606.ENSP00000378957	0	0	0	0	0.382	0.097	0.500	0.476	0.834
FBLN1	FBLN2	9606.ENSP00000331544	9606.ENSP00000384169	0	0	0.063	0.888	0.347	0.098	0.800	0.608	0.948
FBLN2	FBLN5	9606.ENSP00000384169	9606.ENSP00000345008	0	0	0.074	0.811	0.218	0.044	0.500	0.478	0.786
FBLN2	MFAP4	9606.ENSP00000384169	9606.ENSP00000378957	0	0	0	0	0.315	0.097	0.500	0.232	0.730
FBLN5	MGP	9606.ENSP00000345008	9606.ENSP00000228938	0	0	0	0	0.194	0	0	0.305	0.416
FBLN5	TIMP3	9606.ENSP00000345008	9606.ENSP00000266085	0	0	0	0	0.173	0	0	0.393	0.476
FBLN5	LTBP4	9606.ENSP00000345008	9606.ENSP00000311905	0	0	0	0.667	0.074	0.169	0	0.524	0.601
FBLN5	MFAP4	9606.ENSP00000345008	9606.ENSP00000378957	0	0	0	0	0.366	0.069	0.500	0.527	0.842
GPM6A	PCDH9	9606.ENSP00000280187	9606.ENSP00000367096	0	0	0	0	0.450	0	0	0.099	0.483
HBB	KLF1	9606.ENSP00000494175	9606.ENSP00000264834	0	0	0	0	0.075	0	0	0.885	0.889
HBB	HBD	9606.ENSP00000494175	9606.ENSP00000494708	0	0	0.049	0.983	0.652	0	0.540	0.494	0.912
HBD	KLF1	9606.ENSP00000494708	9606.ENSP00000264834	0	0	0	0	0.483	0	0	0.532	0.747
IGF1	SERPINF1	9606.ENSP00000376637	9606.ENSP00000254722	0	0	0	0	0.229	0	0	0.330	0.461
IGF1	LYVE1	9606.ENSP00000376637	9606.ENSP00000256178	0	0	0	0	0.211	0	0	0.274	0.402
IGF1	PDGFRA	9606.ENSP00000376637	9606.ENSP00000257290	0	0	0	0	0.087	0	0.650	0.681	0.889
IGF1	TIMP3	9606.ENSP00000376637	9606.ENSP00000266085	0	0	0	0	0.064	0	0	0.528	0.540
IGF1	NTRK2	9606.ENSP00000376637	9606.ENSP00000277120	0	0	0	0	0.062	0.063	0.650	0.686	0.890
IGF1	IGFBP6	9606.ENSP00000376637	9606.ENSP00000301464	0	0	0	0	0.064	0.153	0.700	0.997	0.999
IGF1	LTBP4	9606.ENSP00000376637	9606.ENSP00000311905	0	0	0	0	0	0	0	0.461	0.461
IGF1	KLF4	9606.ENSP00000376637	9606.ENSP00000363804	0	0	0	0	0	0	0	0.452	0.452
IGF1	SFRP4	9606.ENSP00000376637	9606.ENSP00000410715	0	0	0	0	0.213	0	0	0.297	0.423
IGF1	PROM1	9606.ENSP00000376637	9606.ENSP00000426809	0	0	0	0	0	0	0	0.477	0.477
IGF1	MFAP4	9606.ENSP00000376637	9606.ENSP00000378957	0	0	0	0	0.139	0	0	0.485	0.538
IGF1	MYC	9606.ENSP00000376637	9606.ENSP00000478887	0	0	0	0	0.042	0	0	0.731	0.731
ISLR	MFAP4	9606.ENSP00000249842	9606.ENSP00000378957	0	0	0	0	0.256	0	0	0.446	0.571
KLF4	PDGFRA	9606.ENSP00000363804	9606.ENSP00000257290	0	0	0	0	0	0.052	0	0.400	0.406
KLF4	PROM1	9606.ENSP00000363804	9606.ENSP00000426809	0	0	0	0	0	0	0	0.664	0.664
KLF4	MYC	9606.ENSP00000363804	9606.ENSP00000478887	0	0	0	0	0.099	0.045	0	0.942	0.945
LTBP4	MFAP4	9606.ENSP00000311905	9606.ENSP00000378957	0	0	0	0	0.208	0.097	0	0.552	0.652
LYVE1	PDGFRA	9606.ENSP00000256178	9606.ENSP00000257290	0	0	0	0	0.116	0.052	0	0.525	0.568
LYZ	MFAP4	9606.ENSP00000261267	9606.ENSP00000378957	0	0	0	0	0.093	0	0	0.382	0.416
LYZ	S100A8	9606.ENSP00000261267	9606.ENSP00000357721	0	0	0	0	0.217	0.112	0	0.354	0.512
MFAP4	PDGFRA	9606.ENSP00000378957	9606.ENSP00000257290	0	0	0	0	0.276	0.115	0	0.180	0.429
MGP	OMD	9606.ENSP00000228938	9606.ENSP00000364700	0	0	0	0	0.160	0	0	0.323	0.407
MYC	PDGFRA	9606.ENSP00000478887	9606.ENSP00000257290	0	0	0	0	0.044	0.166	0	0.526	0.589
MYC	TIMP3	9606.ENSP00000478887	9606.ENSP00000266085	0	0	0	0	0.110	0.161	0	0.359	0.479
MYC	TYMS	9606.ENSP00000478887	9606.ENSP00000315644	0	0	0	0	0.083	0	0	0.435	0.459
MYC	S100A8	9606.ENSP00000478887	9606.ENSP00000357721	0	0	0	0	0.074	0.124	0	0.348	0.425
MYC	PROM1	9606.ENSP00000478887	9606.ENSP00000426809	0	0	0	0	0	0	0	0.668	0.668
MYO6	NTRK2	9606.ENSP00000358994	9606.ENSP00000277120	0	0	0	0	0.063	0.197	0	0.393	0.504
NRCAM	RELN	9606.ENSP00000368314	9606.ENSP00000392423	0	0	0	0	0.092	0	0	0.505	0.532
NRCAM	SCN11A	9606.ENSP00000368314	9606.ENSP00000499569	0	0	0	0	0	0	0.500	0.306	0.638
NTRK2	PDGFRA	9606.ENSP00000277120	9606.ENSP00000257290	0	0	0	0.598	0.083	0.074	0	0.468	0.508
NTRK2	SCN11A	9606.ENSP00000277120	9606.ENSP00000499569	0	0	0	0	0.043	0.058	0	0.704	0.710
PDGFRA	PROM1	9606.ENSP00000257290	9606.ENSP00000426809	0	0	0	0	0.044	0	0	0.506	0.507
PDGFRL	SFRP4	9606.ENSP00000444211	9606.ENSP00000410715	0	0	0	0	0.273	0.130	0	0.134	0.405
RARRES2	TIMP3	9606.ENSP00000418009	9606.ENSP00000266085	0	0	0	0	0.124	0	0.400	0.091	0.480
RARRES2	SERPING1	9606.ENSP00000418009	9606.ENSP00000278407	0	0	0	0	0.382	0	0	0.126	0.437
SERPINF1	SERPING1	9606.ENSP00000254722	9606.ENSP00000278407	0	0	0.185	0.706	0.146	0	0	0.222	0.411
SERPINF1	TIMP3	9606.ENSP00000254722	9606.ENSP00000266085	0	0	0	0	0.128	0	0	0.642	0.674
